,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14,text
73,en,"Charlotte, NC",,,,TheLastCrypto,Sun Dec 31 04:33:49 +0000 2017,1,0,0,False,0,False,,# verge lift believe # tesla taking # mars digital wallet full # xvg # cryptocurrency # wraithprotocol # bitcoin # xrp # cardano # # ripple # xrp # iota # komodo # deeponion # anonymous # tribalsovereignty https : //t.co/x8pcj67zcr
74,en,"Charlotte, NC",,,,TheLastCrypto,Sun Dec 31 04:25:46 +0000 2017,1,1,1,False,0,False,,# verge # wraithprotocol way ! # invest price still relatively low . # thankyounasathankyounasathankyounasa # xvg # cryptocurrency # bitcoin # ripple # cardano # deeponion # komodo # kmd # therevolutionwillnotbetelevised https : //t.co/bpghctj6ew
75,en,Egypt,,,,Coast_on_Crypto,Sun Dec 31 04:18:49 +0000 2017,0,0,0,False,0,False,,extra extra ! # moon today leading charts 40 % # cardano # crypto hodlers said today… https : //t.co/k7adjtq37b
76,en,"New York, NY",,,,donf126,Sun Dec 31 04:18:48 +0000 2017,0,1,0,False,0,False,,cardano : ethereum neo killer overhyped overpriced ? via @ noamlevenson - https : //t.co/c3oatbfi00 # blockchain # ethereum
77,en,Orlando Fl. Insta jleenmarie,,,,javier_8944,Sun Dec 31 04:15:51 +0000 2017,0,0,0,False,0,True,,"ripple , cardano hipper inflated https : //t.co/5udqj3fwii"
78,en,Buy now,,,,TheeHustleHouse,Sun Dec 31 04:10:26 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/u3yziedvpb live : charles hoskinson cardano !
79,en,"Chicago, IL",,,,AgarBoss_YT,Sun Dec 31 04:05:24 +0000 2017,0,1,0,False,0,False,,buy cardano ( ) $ .68 # # bitcoin # cryptocurrency
80,en,"Orange, CA",,,,kkMortgageGirl,Sun Dec 31 04:04:32 +0000 2017,0,0,0,False,0,False,,# cryptocurrency # trx # xlm # # voin 🚀🚀🚀🚀 # tron # cardano # stellar # vergecoin # retire early
81,en,"Michigan, USA",,,,SlingshotFuture,Sun Dec 31 03:56:18 +0000 2017,0,0,1,False,0,False,,$ # cardano resting 3x initial candle finding lot resistance . areas key levels market continues resistance support . https : //t.co/sdveuvl57f
82,en,"California, USA",,,,BitcoinHomebase,Sun Dec 31 03:27:09 +0000 2017,0,0,0,False,0,False,,ripple - 'm dumping ripple tokens - ripple vs cardano : https : //t.co/tas6pkowhw via @ youtube
83,en,"California, USA",,,,BitcoinHomebase,Sun Dec 31 03:27:06 +0000 2017,0,0,0,False,0,False,,added video @ youtube playlist https : //t.co/tas6pkowhw ripple - 'm dumping ripple tokens - ripple vs cardano
