text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
Ripple or Cardano: Which surging coin should you buy? - Over the last 48 hours both Ripple and Cardano have... https://t.co/RT7OWGq03r,en,Minneapolis,,,,YouBrandInc,Sun Dec 31 13:43:59 +0000 2017,0,0,0,False,0,False,
Ripple or Cardano: Which surging coin should you buy? - https://t.co/Cscgla78Gg,en,Minneapolis,,,,YouBrandInc,Sun Dec 31 13:43:52 +0000 2017,0,0,0,False,0,False,
Ripple or Cardano: Which surging coin should you buy? - https://t.co/0ip26ttsVX,en,Earth,,,,ScottScanlon,Sun Dec 31 13:43:47 +0000 2017,0,0,0,False,0,False,
Top Cryptocurrencies That Are Alternatives To Bitcoin https://t.co/6bQQR76D6J  #Ripple #XRP is now #2! #Litecoin #BitcoinCash #BitcoinGold #cryptocurrencies #Ethereum #ETH #Cardano #ADA #BCH #LTC #BTC #digitalcurrency #IOTA #DASH #money #MIOTA #XEM #bitcoincrash,en,"New Jersey, USA",United States,US,"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",JohnCoviello1,Sun Dec 31 13:43:35 +0000 2017,0,0,0,False,0,False,
Cardano $ADA new all time high! Last price: $0.71 USD,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 13:41:42 +0000 2017,0,0,1,False,0,False,
#cryptolovers #cardano has a debit card coming out! $ada.x #cryptocurrency #ada https://t.co/aukug0fWHS,en,dallas,,,,713trendsetter,Sun Dec 31 12:04:10 +0000 2017,0,0,0,False,0,False,
When your entire portfolio is in shambles but at least @crypto_bobby got you to add #cardano. https://t.co/Y8yXAmIBiK,en,"Boston, MA",,,,_cryptomuscle,Sun Dec 31 11:53:59 +0000 2017,0,0,0,False,0,False,
When you wake up to the entire #crypto market casually down 50 billion+ but at least you bought #cardano. https://t.co/QujqO3uMnq,en,"Boston, MA",,,,_cryptomuscle,Sun Dec 31 11:40:13 +0000 2017,0,0,0,False,0,False,
Rentberry Applies #Blockchain Technology To Property Rental Industry - Launches Initial #Coin Offer @matrixthinker #crowdsale #blockchain #ICO #cryptocurrency #bitcoin #Ethereum #ripple #litecoin #cardano #verge #stellar #tron #status https://t.co/6v9WVy9Eit https://t.co/VEnjQetloe,en,New York,,,,pamperfashion,Sun Dec 31 10:57:08 +0000 2017,0,0,0,False,0,False,
Ripple or Cardano: Which surging coin should you buy? #Bitcoin #BTC #ETH #LTC #BCH https://t.co/oJ0wx42OkZ,en,Cryptocredits Wallet,,,,Cryptocredit,Sun Dec 31 10:30:50 +0000 2017,0,0,0,False,0,False,
I liked a @YouTube video https://t.co/C2omImkdkq Stellar Coin Breaks Top 10! Ripple v. Cardano Prices &amp; Reviews Continues!!,en,"Orange, Ca",,,,Gsnopel,Sun Dec 31 09:00:15 +0000 2017,0,0,0,False,0,False,
"CARDANO Update (53% Profit Potential)
https://t.co/VMag3TajN7",en,"New York, USA",,,,BenKalashnikov,Sun Dec 31 08:51:14 +0000 2017,0,0,0,False,0,False,
JOIN - https://t.co/27GlUjeHxR the next #binance $DRGN #Bitcoin #NEO #Litecoin #ethereum #Cardano #Ripple #ripplexrp https://t.co/fLyT803epv,en,your .. memory,,,,indianinchicago,Sun Dec 31 08:25:34 +0000 2017,0,1,1,False,0,True,
I just know that #Cardano will be in the top three #Coinmarketcap in the next month and I’m an idiot #nonprofessional investor #ADA,en,"Earth, Twitter and Hive",,,,runridefly,Sun Dec 31 08:15:14 +0000 2017,0,0,0,False,0,False,
"Dec 30 Night Livestream - Markets in Bear Trend? - Cardano, SmartCash, Masternodes: https://t.co/0k7WnREFUS via @YouTube",en,San Francisco,,,,Cryptoid9,Sun Dec 31 07:35:17 +0000 2017,0,0,0,False,0,False,
CARDANO PROMISE TO $\u2026 $ADABTC https://t.co/pL6J8rKK9r,en,"Chicago, IL",,,,TradingViewBot,Sun Dec 31 06:40:11 +0000 2017,0,0,0,False,0,False,
