lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14
en,New York,,,,CryptoParos,Tue Dec 29 13:25:35 +0000 2020,0,1,0,False,0,True,
en,"Los Angeles, CA",,,,KevinLWalker,Tue Dec 29 13:14:53 +0000 2020,1,0,1,False,0,False,
en,USA,,,,webnowcompany,Tue Dec 29 12:57:43 +0000 2020,0,0,0,False,0,False,
en,"Atlanta, GA",,,,desota,Tue Dec 29 12:02:48 +0000 2020,0,0,2,False,0,False,
en,United States,,,,fintechnewshub,Tue Dec 29 11:33:59 +0000 2020,0,0,0,False,0,False,
en,United States,,,,CryptoVetXRP,Tue Dec 29 10:40:23 +0000 2020,0,1,0,False,0,False,
en,United States,,,,CryptoNDaily,Tue Dec 29 10:39:36 +0000 2020,0,0,0,False,0,False,
en,New York/ New Jersey USA,,,,Joule23361581,Tue Dec 29 10:29:03 +0000 2020,0,0,0,False,0,False,
en,"Las Vegas, Nevada",,,,braindrainomar,Tue Dec 29 10:22:30 +0000 2020,0,0,0,False,0,False,
en,Essex,,,,Mitch_Nunn,Tue Dec 29 10:07:26 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Tue Dec 29 10:05:57 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Tue Dec 29 10:05:57 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Tue Dec 29 10:05:57 +0000 2020,0,0,0,False,0,False,
en,"San Francisco, CA",,,,officialmudrex,Tue Dec 29 10:01:37 +0000 2020,1,0,13,False,0,False,
en,USA,,,,webnowcompany,Tue Dec 29 09:35:38 +0000 2020,0,0,0,False,0,False,
en,"Fairfield, CT",,,,vixcontango,Tue Dec 29 09:08:21 +0000 2020,0,0,0,False,0,False,
en,USA,,,,crowdfundinside,Tue Dec 29 08:55:00 +0000 2020,0,0,0,False,0,False,
en,CALIFORNIA,,,,JohnnybNetwork,Tue Dec 29 07:39:25 +0000 2020,0,1,1,False,0,False,
